Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
'р'      | 7.3710   | -
'у'      | 6.3601   | -
'ж'      | 9.6736   | -
'а'      | 6.7252   | -
'е'      | 6.9919   | -
'т'      | 5.4335   | -
'[SPACE]' | 3.1730   | -
'д'      | 7.8343   | -
'у'      | 6.3601   | -
'ш'      | 10.2352   | -
'у'      | 6.3601   | -
'[SPACE]' | 3.1730   | -
'в'      | 6.7252   | -
'р'      | 7.3710   | -
'а'      | 6.7252   | -
'г'      | 4.8578   | -
'п'      | 7.3148   | -
'р'      | 7.3710   | -
'.'      | 3.5381   | 0.0582
'[SPACE]' | 3.1730   | -
'F'      | 5.9486   | 0.0514
'#'      | 6.4541   | 0.0259
'm'      | 10.5365   | -
'7'      | 4.3196   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.1266
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1894
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0711
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | 0.0931
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
